post_id;data;dia_semana;horario;formato;funil;tipo_conteudo;avatar;tema;keyword_manychat;hook_ou_capa;total_slides_ou_duracao;legenda_preview
2026-03-21_1830;2026-03-21;Sabado;18:30;REEL;TOPO;Erros e Falsos Amigos;Academico;TODAVIA em espanhol nao e todavia — e ainda/contudo!;FALSOS;PARA! Nao fala isso em espanhol!;30-60 segundos;⚠️ CUIDADO! Esse erro e mais perigoso do que voce imagina.  TODAVIA em espanhol nao e todavia — e ai...
2026-03-21_2000;2026-03-21;Sabado;20:00;CARROSSEL;MEIO;Quebra de Crencas;Profissional;Espanhol basico NAO e suficiente para negocios;METODO;ESPANHOL BASICO NAO E SUFICIENTE PARA NEGOCIOS;6 slides;Tudo que te ensinaram sobre espanhol e MENTIRA. 👇  Espanhol basico NAO e suficiente para negocios  E...
2026-03-22_0700;2026-03-22;Domingo;07:00;REEL;MEIO;Quebra de Crencas;Viajante;Portunhol NAO e espanhol — e por isso que voce trava;METODO;Prepare-se: o que eu vou falar vai contra tudo que voce ouviu.;30-60 segundos;Tudo que te ensinaram sobre espanhol e MENTIRA. 👇  Portunhol NAO e espanhol — e por isso que voce tr...
2026-03-22_0930;2026-03-22;Domingo;09:30;CARROSSEL;TOPO;Palavras do Cotidiano;Vai Morar Fora;Como falar 'conta de luz' em espanhol;VIAGEM;COMO FALAR CONTA DE LUZ EM ESPANHOL?;7 slides;Essa palavra simples vai te surpreender 👇  Como falar 'conta de luz' em espanhol  Nos, nativos, fala...
2026-03-22_1200;2026-03-22;Domingo;12:00;REEL;TOPO;Expressoes Idiomaticas;Academico;Como falar 'colar na prova' em espanhol;ERROS;Para! Voce fala isso todo dia mas nao sabe em espanhol.;30-60 segundos;Voce fala isso todo dia mas nao sabe em espanhol 👇  Como falar 'colar na prova' em espanhol  Nos, na...
2026-03-22_1500;2026-03-22;Domingo;15:00;CARROSSEL;FUNDO;Metodo e Bastidor;Profissional;Como nosso metodo adapta o aprendizado para seu contexto;METODO;COMO NOSSO METODO ADAPTA O APRENDIZADO PARA SEU CONTEXTO;7 slides;Voce sabe POR QUE voce trava? A ciencia explica 👇  Como nosso metodo adapta o aprendizado para seu c...
2026-03-22_1830;2026-03-22;Domingo;18:30;REEL;MEIO;Desejo e Transformacao;Viajante;Imagina chegar na viagem e conversar com naturalidade...;AULA;E se eu te dissesse que isso e possivel em 6 meses?;30-60 segundos;Fecha os olhos e imagina isso... ✨  Imagina chegar na viagem e conversar com naturalidade...  Isso n...
2026-03-22_2000;2026-03-22;Domingo;20:00;CARROSSEL;FUNDO;Prova Social;Vai Morar Fora;Aluna conseguiu emprego na Espanha em 6 meses de curso;AULA;ALUNA CONSEGUIU EMPREGO NA ESPANHA EM 6 MESES DE CURSO;6 slides;Olha o resultado que esse aluno teve 👇  Aluna conseguiu emprego na Espanha em 6 meses de curso  Essa...
2026-03-23_0700;2026-03-23;Segunda;07:00;REEL;MEIO;Quebra de Crencas;Academico;Estudar gramatica nao vai te fazer falar espanhol;METODO;Essa crenca esta DESTRUINDO seu espanhol.;30-60 segundos;Tudo que te ensinaram sobre espanhol e MENTIRA. 👇  Estudar gramatica nao vai te fazer falar espanhol...
2026-03-23_0930;2026-03-23;Segunda;09:30;CARROSSEL;TOPO;Palavras do Cotidiano;Profissional;Como falar 'reuniao' em espanhol;ERROS;COMO FALAR REUNIAO EM ESPANHOL?;7 slides;Essa palavra simples vai te surpreender 👇  Como falar 'reuniao' em espanhol  Nos, nativos, falamos i...
2026-03-23_1200;2026-03-23;Segunda;12:00;REEL;MEIO;Perguntas de Seguidores;Viajante;Seguidor pergunta: como pronunciar o S em espanhol?;PRONUNCIA;Essa e a duvida mais comum que eu recebo.;30-60 segundos;Voces pediram, eu respondi 👇  Seguidor pergunta: como pronunciar o S em espanhol?  Recebi essa pergu...
2026-03-23_1500;2026-03-23;Segunda;15:00;CARROSSEL;FUNDO;CTA Indireto;Vai Morar Fora;Se voce vai se mudar e quer chegar preparado, eu te ajudo;AULA;VOCE QUER DESTRAVAR SEU ESPANHOL?;5 slides;Eu tenho algo especial pra voce. Le ate o final. 👇  Se voce vai se mudar e quer chegar preparado, eu...
2026-03-23_1830;2026-03-23;Segunda;18:30;REEL;TOPO;Expressoes Idiomaticas;Academico;Como falar 'ralar muito' em espanhol;ERROS;Essa expressao brasileira nao existe em espanhol!;30-60 segundos;Voce fala isso todo dia mas nao sabe em espanhol 👇  Como falar 'ralar muito' em espanhol  Nos, nativ...
2026-03-23_2000;2026-03-23;Segunda;20:00;CARROSSEL;TOPO;Erros e Falsos Amigos;Profissional;NEGOCIO tem plural diferente em espanhol!;FALSOS;CUIDADO! NEGOCIO;7 slides;⚠️ CUIDADO! Esse erro e mais perigoso do que voce imagina.  NEGOCIO tem plural diferente em espanhol...
2026-03-24_0700;2026-03-24;Terca;07:00;REEL;MEIO;Perguntas de Seguidores;Viajante;Seguidor pergunta: qual diferenca entre buen e bueno?;ERROS;Um seguidor me mandou essa pergunta e a resposta vai te surpreender.;30-60 segundos;Voces pediram, eu respondi 👇  Seguidor pergunta: qual diferenca entre buen e bueno?  Recebi essa per...
2026-03-24_0930;2026-03-24;Terca;09:30;CARROSSEL;TOPO;Erros e Falsos Amigos;Vai Morar Fora;PISO em espanhol e apartamento, nao chao!;FALSOS;CUIDADO! PISO;7 slides;⚠️ CUIDADO! Esse erro e mais perigoso do que voce imagina.  PISO em espanhol e apartamento, nao chao...
2026-03-24_1200;2026-03-24;Terca;12:00;REEL;MEIO;Perguntas de Seguidores;Academico;Seguidor pergunta: quando usar subjuntivo?;ERROS;Voces me perguntaram isso e eu PRECISO responder.;30-60 segundos;Voces pediram, eu respondi 👇  Seguidor pergunta: quando usar subjuntivo?  Recebi essa pergunta e ach...
2026-03-24_1500;2026-03-24;Terca;15:00;CARROSSEL;TOPO;Erros e Falsos Amigos;Profissional;SALARIO vs SUELDO — qual usar no trabalho?;FALSOS;CUIDADO! SALARIO VS SUELDO;7 slides;⚠️ CUIDADO! Esse erro e mais perigoso do que voce imagina.  SALARIO vs SUELDO — qual usar no trabalh...
2026-03-24_1830;2026-03-24;Terca;18:30;REEL;FUNDO;CTA Indireto;Viajante;Se voce quer destravar seu espanhol antes da viagem, eu te mostro como;AULA;Eu tenho algo especial pra te mostrar.;30-60 segundos;Eu tenho algo especial pra voce. Le ate o final. 👇  Se voce quer destravar seu espanhol antes da via...
2026-03-24_2000;2026-03-24;Terca;20:00;CARROSSEL;MEIO;Dor e Identificacao;Vai Morar Fora;Voce mora fora mas ainda depende de outros pra resolver coisas?;TRAVA;VOCE MORA FORA MAS AINDA DEPENDE DE OUTROS PRA RESOLVER COISAS?;6 slides;Se voce se identifica... esse post e pra voce. 👇  Voce mora fora mas ainda depende de outros pra res...
2026-03-25_0700;2026-03-25;Quarta;07:00;REEL;TOPO;Palavras do Cotidiano;Academico;Como falar 'bolsa de estudos' em espanhol;ERROS;Uma palavra. Mil confusoes. Bora resolver.;30-60 segundos;Essa palavra simples vai te surpreender 👇  Como falar 'bolsa de estudos' em espanhol  Nos, nativos, ...
2026-03-25_0930;2026-03-25;Quarta;09:30;CARROSSEL;MEIO;Perguntas de Seguidores;Profissional;Seguidor pergunta: como dar feedback em espanhol?;ERROS;COMO DAR FEEDBACK EM ESPANHOL?;6 slides;Voces pediram, eu respondi 👇  Seguidor pergunta: como dar feedback em espanhol?  Recebi essa pergunt...
2026-03-25_1200;2026-03-25;Quarta;12:00;REEL;TOPO;Cultura e Diferencas;Viajante;Por que na Espanha jantam as 22h?;VIAGEM;Isso que voce acha normal no Brasil e MUITO diferente la fora.;30-60 segundos;Sabia que isso muda de pais pra pais? 🌎  Por que na Espanha jantam as 22h?  O mundo hispanico e muit...
2026-03-25_1500;2026-03-25;Quarta;15:00;CARROSSEL;FUNDO;Metodo e Bastidor;Vai Morar Fora;Como nosso metodo prepara voce para o dia a dia real;METODO;COMO NOSSO METODO PREPARA VOCE PARA O DIA A DIA REAL;7 slides;Voce sabe POR QUE voce trava? A ciencia explica 👇  Como nosso metodo prepara voce para o dia a dia r...
2026-03-25_1830;2026-03-25;Quarta;18:30;REEL;TOPO;Expressoes Idiomaticas;Academico;Como falar 'ficar por fora' em espanhol;ERROS;Voce sabe como falar isso em espanhol?;30-60 segundos;Voce fala isso todo dia mas nao sabe em espanhol 👇  Como falar 'ficar por fora' em espanhol  Nos, na...
2026-03-25_2000;2026-03-25;Quarta;20:00;CARROSSEL;FUNDO;Metodo e Bastidor;Profissional;Nucleo del Conocimiento: o vocabulario certo para sua area;METODO;NUCLEO DEL CONOCIMIENTO: O VOCABULARIO CERTO PARA SUA AREA;7 slides;Voce sabe POR QUE voce trava? A ciencia explica 👇  Nucleo del Conocimiento: o vocabulario certo para...
2026-03-26_0700;2026-03-26;Quinta;07:00;REEL;FUNDO;Prova Social;Viajante;Ela travava... hoje conversa com nativos na viagem;AULA;Isso aqui e a prova de que o metodo funciona.;30-60 segundos;Olha o resultado que esse aluno teve 👇  Ela travava... hoje conversa com nativos na viagem  Essa e u...
2026-03-26_0930;2026-03-26;Quinta;09:30;CARROSSEL;MEIO;Dor e Identificacao;Vai Morar Fora;Voce se sente menos capaz so por causa do idioma?;TRAVA;VOCE SE SENTE MENOS CAPAZ SO POR CAUSA DO IDIOMA?;6 slides;Se voce se identifica... esse post e pra voce. 👇  Voce se sente menos capaz so por causa do idioma? ...
2026-03-26_1200;2026-03-26;Quinta;12:00;REEL;MEIO;Desejo e Transformacao;Academico;Imagina passar na prova com confianca total...;AULA;Essa pode ser a sua realidade. Eu vou te mostrar como.;30-60 segundos;Fecha os olhos e imagina isso... ✨  Imagina passar na prova com confianca total...  Isso nao e um so...
2026-03-26_1500;2026-03-26;Quinta;15:00;CARROSSEL;TOPO;Erros e Falsos Amigos;Profissional;DESPEDIR pode ser demitir OU se despedir!;FALSOS;CUIDADO! DESPEDIR;7 slides;⚠️ CUIDADO! Esse erro e mais perigoso do que voce imagina.  DESPEDIR pode ser demitir OU se despedir...
2026-03-26_1830;2026-03-26;Quinta;18:30;REEL;FUNDO;CTA Indireto;Viajante;Comenta AULA que eu te envio o link da aula gratuita;AULA;Eu preparei algo que pode mudar sua relacao com o espanhol.;30-60 segundos;Eu tenho algo especial pra voce. Le ate o final. 👇  Comenta AULA que eu te envio o link da aula grat...
2026-03-26_2000;2026-03-26;Quinta;20:00;CARROSSEL;MEIO;Perguntas de Seguidores;Vai Morar Fora;Seguidor pergunta: como marcar consulta medica em espanhol?;METODO;COMO MARCAR CONSULTA MEDICA EM ESPANHOL?;6 slides;Voces pediram, eu respondi 👇  Seguidor pergunta: como marcar consulta medica em espanhol?  Recebi es...
2026-03-27_0700;2026-03-27;Sexta;07:00;REEL;TOPO;Palavras do Cotidiano;Academico;Como falar 'nota' (da escola) em espanhol;ERROS;Uma palavra. Mil confusoes. Bora resolver.;30-60 segundos;Essa palavra simples vai te surpreender 👇  Como falar 'nota' (da escola) em espanhol  Nos, nativos, ...
2026-03-27_0930;2026-03-27;Sexta;09:30;CARROSSEL;FUNDO;Prova Social;Profissional;Aluno foi promovido depois de destravar o espanhol;AULA;ALUNO FOI PROMOVIDO DEPOIS DE DESTRAVAR O ESPANHOL;6 slides;Olha o resultado que esse aluno teve 👇  Aluno foi promovido depois de destravar o espanhol  Essa e u...
2026-03-27_1200;2026-03-27;Sexta;12:00;REEL;MEIO;Dor e Identificacao;Viajante;Voce entende espanhol mas trava na hora de falar?;TRAVA;Eu sei exatamente o que voce ta sentindo.;30-60 segundos;Se voce se identifica... esse post e pra voce. 👇  Voce entende espanhol mas trava na hora de falar? ...
2026-03-27_1500;2026-03-27;Sexta;15:00;CARROSSEL;FUNDO;Prova Social;Vai Morar Fora;Brasileiro que passou na entrevista de cidadania em espanhol;AULA;BRASILEIRO QUE PASSOU NA ENTREVISTA DE CIDADANIA EM ESPANHOL;6 slides;Olha o resultado que esse aluno teve 👇  Brasileiro que passou na entrevista de cidadania em espanhol...
2026-03-27_1830;2026-03-27;Sexta;18:30;REEL;MEIO;Perguntas de Seguidores;Academico;Seguidor pergunta: POR vs PARA — como nao errar?;ERROS;Voces me perguntaram isso e eu PRECISO responder.;30-60 segundos;Voces pediram, eu respondi 👇  Seguidor pergunta: POR vs PARA — como nao errar?  Recebi essa pergunta...
2026-03-27_2000;2026-03-27;Sexta;20:00;CARROSSEL;MEIO;Dor e Identificacao;Profissional;Voce e competente na sua area mas trava em espanhol?;TRAVA;VOCE E COMPETENTE NA SUA AREA MAS TRAVA EM ESPANHOL?;6 slides;Se voce se identifica... esse post e pra voce. 👇  Voce e competente na sua area mas trava em espanho...
2026-03-28_0700;2026-03-28;Sabado;07:00;REEL;TOPO;Palavras do Cotidiano;Viajante;Como falar 'carona' em espanhol;VIAGEM;Essa palavra simples tem traducao ERRADA na sua cabeca.;30-60 segundos;Essa palavra simples vai te surpreender 👇  Como falar 'carona' em espanhol  Nos, nativos, falamos is...
2026-03-28_0930;2026-03-28;Sabado;09:30;CARROSSEL;MEIO;Historia e Autoridade Pessoal;Vai Morar Fora;Eu fui a imigrante que nao falava o idioma — sei como e;METODO;EU FUI A IMIGRANTE QUE NAO FALAVA O IDIOMA — SEI COMO E;6 slides;Eu preciso te contar uma coisa sobre mim... 👇  Eu fui a imigrante que nao falava o idioma — sei como...
2026-03-28_1200;2026-03-28;Sabado;12:00;REEL;TOPO;Palavras do Cotidiano;Academico;Como falar 'materia' (disciplina) em espanhol;ERROS;Uma palavra. Mil confusoes. Bora resolver.;30-60 segundos;Essa palavra simples vai te surpreender 👇  Como falar 'materia' (disciplina) em espanhol  Nos, nativ...
2026-03-28_1500;2026-03-28;Sabado;15:00;CARROSSEL;FUNDO;Metodo e Bastidor;Profissional;Imersao Ativa: como treinar espanhol sem sair do escritorio;METODO;IMERSAO ATIVA: COMO TREINAR ESPANHOL SEM SAIR DO ESCRITORIO;7 slides;Voce sabe POR QUE voce trava? A ciencia explica 👇  Imersao Ativa: como treinar espanhol sem sair do ...
2026-03-28_1830;2026-03-28;Sabado;18:30;REEL;TOPO;Palavras do Cotidiano;Viajante;Como falar 'saudade' em espanhol;VIAGEM;Essa palavra simples tem traducao ERRADA na sua cabeca.;30-60 segundos;Essa palavra simples vai te surpreender 👇  Como falar 'saudade' em espanhol  Nos, nativos, falamos i...
2026-03-28_2000;2026-03-28;Sabado;20:00;CARROSSEL;MEIO;Dor e Identificacao;Vai Morar Fora;Voce evita ligacoes porque tem medo de nao entender?;TRAVA;VOCE EVITA LIGACOES PORQUE TEM MEDO DE NAO ENTENDER?;6 slides;Se voce se identifica... esse post e pra voce. 👇  Voce evita ligacoes porque tem medo de nao entende...
2026-03-29_0700;2026-03-29;Domingo;07:00;REEL;TOPO;Expressoes Idiomaticas;Academico;Como falar 'pegar no pe' em espanhol;ERROS;Para! Voce fala isso todo dia mas nao sabe em espanhol.;30-60 segundos;Voce fala isso todo dia mas nao sabe em espanhol 👇  Como falar 'pegar no pe' em espanhol  Nos, nativ...
2026-03-29_0930;2026-03-29;Domingo;09:30;CARROSSEL;FUNDO;Prova Social;Profissional;Vendedora triplicou clientes ao dominar espanhol de negocios;AULA;VENDEDORA TRIPLICOU CLIENTES AO DOMINAR ESPANHOL DE NEGOCIOS;6 slides;Olha o resultado que esse aluno teve 👇  Vendedora triplicou clientes ao dominar espanhol de negocios...
2026-03-29_1200;2026-03-29;Domingo;12:00;REEL;MEIO;Historia e Autoridade Pessoal;Viajante;Eu aprendi portugues sem escola — foi isso que me ensinou a ensinar;METODO;Quando eu cheguei no Brasil, eu nao falava uma palavra em portugues.;30-60 segundos;Eu preciso te contar uma coisa sobre mim... 👇  Eu aprendi portugues sem escola — foi isso que me ens...
2026-03-29_1500;2026-03-29;Domingo;15:00;CARROSSEL;TOPO;Palavras do Cotidiano;Vai Morar Fora;Como falar 'carteira de motorista' em espanhol;VIAGEM;COMO FALAR CARTEIRA DE MOTORISTA EM ESPANHOL?;7 slides;Essa palavra simples vai te surpreender 👇  Como falar 'carteira de motorista' em espanhol  Nos, nati...
2026-03-29_1830;2026-03-29;Domingo;18:30;REEL;MEIO;Perguntas de Seguidores;Academico;Seguidor pergunta: como se preparar para o DELE?;ERROS;Essa e a duvida mais comum que eu recebo.;30-60 segundos;Voces pediram, eu respondi 👇  Seguidor pergunta: como se preparar para o DELE?  Recebi essa pergunta...
2026-03-29_2000;2026-03-29;Domingo;20:00;CARROSSEL;FUNDO;CTA Indireto;Profissional;Quer destravar o espanhol da sua carreira? Comeca por aqui;AULA;VOCE QUER DESTRAVAR SEU ESPANHOL?;5 slides;Eu tenho algo especial pra voce. Le ate o final. 👇  Quer destravar o espanhol da sua carreira? Comec...
2026-03-30_0700;2026-03-30;Segunda;07:00;REEL;TOPO;Cultura e Diferencas;Viajante;O que e siesta e por que os espanhois amam;VIAGEM;A diferenca cultural que ninguem te contou.;30-60 segundos;Sabia que isso muda de pais pra pais? 🌎  O que e siesta e por que os espanhois amam  O mundo hispani...
2026-03-30_0930;2026-03-30;Segunda;09:30;CARROSSEL;FUNDO;CTA Indireto;Vai Morar Fora;Comenta AULA — tenho uma aula demonstrativa gratuita pra voce;AULA;VOCE QUER DESTRAVAR SEU ESPANHOL?;5 slides;Eu tenho algo especial pra voce. Le ate o final. 👇  Comenta AULA — tenho uma aula demonstrativa grat...
2026-03-30_1200;2026-03-30;Segunda;12:00;REEL;MEIO;Dor e Identificacao;Academico;Voce ja estudou espanhol e mesmo assim nao consegue conversar?;TRAVA;Voce se identifica com isso? Entao voce PRECISA ouvir.;30-60 segundos;Se voce se identifica... esse post e pra voce. 👇  Voce ja estudou espanhol e mesmo assim nao consegu...
2026-03-30_1500;2026-03-30;Segunda;15:00;CARROSSEL;TOPO;Palavras do Cotidiano;Profissional;Como falar 'prazo' em espanhol;ERROS;COMO FALAR PRAZO EM ESPANHOL?;7 slides;Essa palavra simples vai te surpreender 👇  Como falar 'prazo' em espanhol  Nos, nativos, falamos iss...
2026-03-30_1830;2026-03-30;Segunda;18:30;REEL;MEIO;Quebra de Crencas;Viajante;Quanto mais voce estuda espanhol... pior voce fala;METODO;Prepare-se: o que eu vou falar vai contra tudo que voce ouviu.;30-60 segundos;Tudo que te ensinaram sobre espanhol e MENTIRA. 👇  Quanto mais voce estuda espanhol... pior voce fal...
2026-03-30_2000;2026-03-30;Segunda;20:00;CARROSSEL;TOPO;Cultura e Diferencas;Vai Morar Fora;Sistema de saude Espanha vs Brasil — a diferenca;VIAGEM;SISTEMA DE SAUDE ESPANHA VS BRASIL — A DIFERENCA;7 slides;Sabia que isso muda de pais pra pais? 🌎  Sistema de saude Espanha vs Brasil — a diferenca  O mundo h...
2026-03-31_0700;2026-03-31;Terca;07:00;REEL;MEIO;Desejo e Transformacao;Academico;Como seria conseguir a bolsa dos seus sonhos?;AULA;E se eu te dissesse que isso e possivel em 6 meses?;30-60 segundos;Fecha os olhos e imagina isso... ✨  Como seria conseguir a bolsa dos seus sonhos?  Isso nao e um son...
2026-03-31_0930;2026-03-31;Terca;09:30;CARROSSEL;TOPO;Cultura e Diferencas;Profissional;Cultura de trabalho na Espanha vs no Brasil;VIAGEM;CULTURA DE TRABALHO NA ESPANHA VS NO BRASIL;7 slides;Sabia que isso muda de pais pra pais? 🌎  Cultura de trabalho na Espanha vs no Brasil  O mundo hispan...
2026-03-31_1200;2026-03-31;Terca;12:00;REEL;TOPO;Expressoes Idiomaticas;Viajante;Como falar 'se vira nos 30' em espanhol;VIAGEM;Voce sabe como falar isso em espanhol?;30-60 segundos;Voce fala isso todo dia mas nao sabe em espanhol 👇  Como falar 'se vira nos 30' em espanhol  Nos, na...
2026-03-31_1500;2026-03-31;Terca;15:00;CARROSSEL;FUNDO;CTA Indireto;Vai Morar Fora;Voce nao precisa chegar la sem falar — comeca agora;AULA;VOCE QUER DESTRAVAR SEU ESPANHOL?;5 slides;Eu tenho algo especial pra voce. Le ate o final. 👇  Voce nao precisa chegar la sem falar — comeca ag...
2026-03-31_1830;2026-03-31;Terca;18:30;REEL;MEIO;Quebra de Crencas;Academico;O problema nao e falta de vocabulario;METODO;Essa crenca esta DESTRUINDO seu espanhol.;30-60 segundos;Tudo que te ensinaram sobre espanhol e MENTIRA. 👇  O problema nao e falta de vocabulario  Eu sei que...
2026-03-31_2000;2026-03-31;Terca;20:00;CARROSSEL;MEIO;Quebra de Crencas;Profissional;Curso generico nao resolve espanhol corporativo;METODO;CURSO GENERICO NAO RESOLVE ESPANHOL CORPORATIVO;6 slides;Tudo que te ensinaram sobre espanhol e MENTIRA. 👇  Curso generico nao resolve espanhol corporativo  ...
2026-04-01_0700;2026-04-01;Quarta;07:00;REEL;FUNDO;Prova Social;Viajante;Aluno que saiu do portunhol e se virou sozinho na Argentina;AULA;Isso aqui e a prova de que o metodo funciona.;30-60 segundos;Olha o resultado que esse aluno teve 👇  Aluno que saiu do portunhol e se virou sozinho na Argentina ...
2026-04-01_0930;2026-04-01;Quarta;09:30;CARROSSEL;TOPO;Palavras do Cotidiano;Vai Morar Fora;Como falar 'comprovante de residencia' em espanhol;VIAGEM;COMO FALAR COMPROVANTE DE RESIDENCIA EM ESPANHOL?;7 slides;Essa palavra simples vai te surpreender 👇  Como falar 'comprovante de residencia' em espanhol  Nos, ...
2026-04-01_1200;2026-04-01;Quarta;12:00;REEL;TOPO;Palavras do Cotidiano;Academico;Como falar 'mestrado' em espanhol;ERROS;Uma palavra. Mil confusoes. Bora resolver.;30-60 segundos;Essa palavra simples vai te surpreender 👇  Como falar 'mestrado' em espanhol  Nos, nativos, falamos ...
2026-04-01_1500;2026-04-01;Quarta;15:00;CARROSSEL;MEIO;Perguntas de Seguidores;Profissional;Seguidor pergunta: como encerrar reuniao em espanhol?;ERROS;COMO ENCERRAR REUNIAO EM ESPANHOL?;6 slides;Voces pediram, eu respondi 👇  Seguidor pergunta: como encerrar reuniao em espanhol?  Recebi essa per...
2026-04-01_1830;2026-04-01;Quarta;18:30;REEL;TOPO;Cultura e Diferencas;Viajante;Festas que voce precisa viver: Espanha vs America Latina;VIAGEM;Em cada pais hispanico chamam isso de um jeito diferente.;30-60 segundos;Sabia que isso muda de pais pra pais? 🌎  Festas que voce precisa viver: Espanha vs America Latina  O...
2026-04-01_2000;2026-04-01;Quarta;20:00;CARROSSEL;FUNDO;CTA Indireto;Vai Morar Fora;Tenho um caminho claro pra quem vai morar fora (vol. 2);AULA;VOCE QUER DESTRAVAR SEU ESPANHOL?;5 slides;Eu tenho algo especial pra voce. Le ate o final. 👇  Tenho um caminho claro pra quem vai morar fora (...
2026-04-02_0700;2026-04-02;Quinta;07:00;REEL;MEIO;Historia e Autoridade Pessoal;Academico;15 anos ensinando brasileiros — o que eu descobri;METODO;Pouca gente sabe disso sobre mim, mas...;30-60 segundos;Eu preciso te contar uma coisa sobre mim... 👇  15 anos ensinando brasileiros — o que eu descobri  Qu...
2026-04-02_0930;2026-04-02;Quinta;09:30;CARROSSEL;TOPO;Palavras do Cotidiano;Profissional;Como falar 'ferias' em espanhol;ERROS;COMO FALAR FERIAS EM ESPANHOL?;7 slides;Essa palavra simples vai te surpreender 👇  Como falar 'ferias' em espanhol  Nos, nativos, falamos is...
2026-04-02_1200;2026-04-02;Quinta;12:00;REEL;FUNDO;Prova Social;Viajante;De 'nao falo nada' a 'negociei preco no mercado em espanhol';AULA;Essa historia me emociona toda vez que eu conto.;30-60 segundos;Olha o resultado que esse aluno teve 👇  De 'nao falo nada' a 'negociei preco no mercado em espanhol'...
2026-04-02_1500;2026-04-02;Quinta;15:00;CARROSSEL;MEIO;Perguntas de Seguidores;Vai Morar Fora;Seguidor pergunta: como falar com casero/proprietario?;ERROS;COMO FALAR COM CASERO/PROPRIETARIO?;6 slides;Voces pediram, eu respondi 👇  Seguidor pergunta: como falar com casero/proprietario?  Recebi essa pe...
2026-04-02_1830;2026-04-02;Quinta;18:30;REEL;FUNDO;Metodo e Bastidor;Academico;Por que decorar nao funciona — e o que funciona de verdade;METODO;Voce sabe POR QUE voce trava ao falar espanhol?;30-60 segundos;Voce sabe POR QUE voce trava? A ciencia explica 👇  Por que decorar nao funciona — e o que funciona d...
