data;dia_semana;horario;formato;funil;tipo_conteudo_id;tipo_conteudo;avatar_id;avatar;tema;cta;keyword_manychat;hashtags
2026-03-26;Quinta;12:00;REEL;MEIO;8;Desejo e Transformacao;academico;Academico;Imagina passar na prova com confianca total...;Comenta QUERO se esse e seu sonho | Comenta AULA;AULA;#espanholparabrasileiros #espanholcomvoce #aprenderespanhol #celu #siele #espanholparaconcurso #faleespanhol #transformacao #destrave
2026-03-26;Quinta;15:00;CARROSSEL;TOPO;3;Erros e Falsos Amigos;profissional;Profissional;DESPEDIR pode ser demitir OU se despedir!;Comenta se voce ja falou isso | Comenta FALSOS;FALSOS;#espanholparabrasileiros #aprenderespanhol #espanhol #espanholparanegocio #espanholprofissional #espanholparatrabalho #cuidado #falsoscognatos #erroscomuns
2026-03-26;Quinta;18:30;REEL;FUNDO;11;CTA Indireto;viajante;Viajante;Comenta AULA que eu te envio o link da aula gratuita;Comenta AULA | Comenta AULA;AULA;#espanhol #espanholcomvoce #aprenderespanhol #espanholbasico #viagemparaaamericadosul #mochilao #comece #aulademonstrativa #linknabioo
2026-03-26;Quinta;20:00;CARROSSEL;MEIO;4;Perguntas de Seguidores;vai_morar_fora;Vai Morar Fora;Seguidor pergunta: como marcar consulta medica em espanhol?;Manda sua duvida nos comentarios | Comenta METODO;METODO;#espanholparabrasileiros #aprenderespanhol #aprendaespanhol #vidanoexterior #brasileirosnaargentina #brasileironoexterior #aleresponde #perguntadeseguidor #duvida
2026-03-27;Sexta;07:00;REEL;TOPO;2;Palavras do Cotidiano;academico;Academico;Como falar 'nota' (da escola) em espanhol;Comenta qual palavra voce queria saber | Comenta ERROS;ERROS;#espanholparabrasileiros #espanholcomvoce #aprenderespanhol #celu #siele #dele #palavradodia #espanholdodia #vocabulario
2026-03-27;Sexta;09:30;CARROSSEL;FUNDO;10;Prova Social;profissional;Profissional;Aluno foi promovido depois de destravar o espanhol;Comenta QUERO se voce quer o mesmo resultado | Comenta AULA;AULA;#aprenderespanhol #espanholcomvoce #espanholreal #carreirainternacional #espanholparatrabalho #espanholparanegocio #alunoreal #resultado #depoimento
2026-03-27;Sexta;12:00;REEL;MEIO;7;Dor e Identificacao;viajante;Viajante;Voce entende espanhol mas trava na hora de falar?;Comenta SIM se voce se identifica | Comenta TRAVA;TRAVA;#espanhol #aprendaespanhol #espanholonline #viajarsozinho #espanholbasico #espanholparaviagem #voceseidentifica #travanoespanhol #identificacao
2026-03-27;Sexta;15:00;CARROSSEL;FUNDO;10;Prova Social;vai_morar_fora;Vai Morar Fora;Brasileiro que passou na entrevista de cidadania em espanhol;Comenta QUERO se voce quer o mesmo resultado | Comenta AULA;AULA;#espanhol #espanholonline #espanholreal #brasileironoexterior #morarfora #vidanoexterior #depoimento #resultado #alunoreal
2026-03-27;Sexta;18:30;REEL;MEIO;4;Perguntas de Seguidores;academico;Academico;Seguidor pergunta: POR vs PARA — como nao errar?;Manda sua duvida nos comentarios | Comenta ERROS;ERROS;#aprenderespanhol #espanhol #espanholonline #dele #siele #proficienciaemespanhol #perguntadeseguidor #aleresponde #duvida
2026-03-27;Sexta;20:00;CARROSSEL;MEIO;7;Dor e Identificacao;profissional;Profissional;Voce e competente na sua area mas trava em espanhol?;Comenta SIM se voce se identifica | Comenta TRAVA;TRAVA;#espanhol #aprenderespanhol #espanholonline #espanholcorporativo #carreirainternacional #espanholparanegocio #travanoespanhol #voceseidentifica #identificacao
2026-03-28;Sabado;07:00;REEL;TOPO;2;Palavras do Cotidiano;viajante;Viajante;Como falar 'carona' em espanhol;Comenta qual palavra voce queria saber | Comenta VIAGEM;VIAGEM;#aprenderespanhol #espanholparabrasileiros #espanholreal #espanholparaviagem #mochilao #viagemparaaamericadosul #espanholdodia #palavradodia #vocabulario
2026-03-28;Sabado;09:30;CARROSSEL;MEIO;12;Historia e Autoridade Pessoal;vai_morar_fora;Vai Morar Fora;Eu fui a imigrante que nao falava o idioma — sei como e;Salva / Me conta sua historia | Comenta METODO;METODO;#espanholonline #espanholparabrasileiros #espanholreal #vidanoexterior #brasileirosnaespanha #brasileironoexterior #professoranativa #bastidores #historiadaale
2026-03-28;Sabado;12:00;REEL;TOPO;2;Palavras do Cotidiano;academico;Academico;Como falar 'materia' (disciplina) em espanhol;Comenta qual palavra voce queria saber | Comenta ERROS;ERROS;#aprenderespanhol #espanholonline #espanholreal #estudarnoexterior #espanholparaconcurso #siele #palavradodia #espanholdodia #vocabulario
2026-03-28;Sabado;15:00;CARROSSEL;FUNDO;6;Metodo e Bastidor;profissional;Profissional;Imersao Ativa: como treinar espanhol sem sair do escritorio;Comenta METODO para saber mais | Comenta METODO;METODO;#espanholcomvoce #espanholonline #espanholreal #negociosinternacionais #espanholprofissional #espanholcorporativo #comoaprender #imersaonativa #metodo
2026-03-28;Sabado;18:30;REEL;TOPO;2;Palavras do Cotidiano;viajante;Viajante;Como falar 'saudade' em espanhol;Comenta qual palavra voce queria saber | Comenta VIAGEM;VIAGEM;#espanholreal #espanhol #espanholparabrasileiros #viajarsozinho #viagemparaaamericadosul #espanholparaviagem #palavradodia #vocabulario #espanholdodia
2026-03-28;Sabado;20:00;CARROSSEL;MEIO;7;Dor e Identificacao;vai_morar_fora;Vai Morar Fora;Voce evita ligacoes porque tem medo de nao entender?;Comenta SIM se voce se identifica | Comenta TRAVA;TRAVA;#espanholonline #espanholcomvoce #espanhol #morarfora #imigracao #vidanoexterior #travanoespanhol #voceseidentifica #identificacao
2026-03-29;Domingo;07:00;REEL;TOPO;1;Expressoes Idiomaticas;academico;Academico;Como falar 'pegar no pe' em espanhol;Salva esse video / Manda pra quem precisa | Comenta ERROS;ERROS;#aprenderespanhol #espanholreal #espanhol #siele #espanholparaconcurso #espanholparaenem #espanholnativo #expressoes #comofalarem
2026-03-29;Domingo;09:30;CARROSSEL;FUNDO;10;Prova Social;profissional;Profissional;Vendedora triplicou clientes ao dominar espanhol de negocios;Comenta QUERO se voce quer o mesmo resultado | Comenta AULA;AULA;#espanhol #aprenderespanhol #aprendaespanhol #carreirainternacional #espanholcorporativo #espanholprofissional #depoimento #resultado #alunoreal
2026-03-29;Domingo;12:00;REEL;MEIO;12;Historia e Autoridade Pessoal;viajante;Viajante;Eu aprendi portugues sem escola — foi isso que me ensinou a ensinar;Salva / Me conta sua historia | Comenta METODO;METODO;#espanholparabrasileiros #espanhol #espanholcomvoce #espanholbasico #mochilao #viagemparaaamericadosul #professoranativa #historiadaale #bastidores
2026-03-29;Domingo;15:00;CARROSSEL;TOPO;2;Palavras do Cotidiano;vai_morar_fora;Vai Morar Fora;Como falar 'carteira de motorista' em espanhol;Comenta qual palavra voce queria saber | Comenta VIAGEM;VIAGEM;#aprendaespanhol #espanholparabrasileiros #espanholcomvoce #morarfora #brasileironoexterior #brasileirosnaespanha #espanholdodia #vocabulario #palavradodia
2026-03-29;Domingo;18:30;REEL;MEIO;4;Perguntas de Seguidores;academico;Academico;Seguidor pergunta: como se preparar para o DELE?;Manda sua duvida nos comentarios | Comenta ERROS;ERROS;#espanholonline #aprenderespanhol #espanholreal #proficienciaemespanhol #estudarnoexterior #espanholparaconcurso #aleresponde #perguntadeseguidor #duvida
2026-03-29;Domingo;20:00;CARROSSEL;FUNDO;11;CTA Indireto;profissional;Profissional;Quer destravar o espanhol da sua carreira? Comeca por aqui;Comenta AULA | Comenta AULA;AULA;#espanholparabrasileiros #espanholonline #espanholcomvoce #espanholparatrabalho #espanholprofissional #espanholcorporativo #comece #aulademonstrativa #linknabioo
2026-03-30;Segunda;07:00;REEL;TOPO;5;Cultura e Diferencas;viajante;Viajante;O que e siesta e por que os espanhois amam;Comenta seu pais favorito | Comenta VIAGEM;VIAGEM;#espanholcomvoce #espanholparabrasileiros #espanhol #espanholparaviagem #viagemparaaamericadosul #espanholbasico #culturaespanhola #curiosidades #diferencas
2026-03-30;Segunda;09:30;CARROSSEL;FUNDO;11;CTA Indireto;vai_morar_fora;Vai Morar Fora;Comenta AULA — tenho uma aula demonstrativa gratuita pra voce;Comenta AULA | Comenta AULA;AULA;#espanholcomvoce #espanholreal #espanholonline #brasileironoexterior #brasileirosnaespanha #vidanoexterior #aulademonstrativa #linknabioo #comece
2026-03-30;Segunda;12:00;REEL;MEIO;7;Dor e Identificacao;academico;Academico;Voce ja estudou espanhol e mesmo assim nao consegue conversar?;Comenta SIM se voce se identifica | Comenta TRAVA;TRAVA;#espanholonline #espanholparabrasileiros #espanhol #espanholparaenem #estudarnoexterior #dele #travanoespanhol #voceseidentifica #identificacao
2026-03-30;Segunda;15:00;CARROSSEL;TOPO;2;Palavras do Cotidiano;profissional;Profissional;Como falar 'prazo' em espanhol;Comenta qual palavra voce queria saber | Comenta ERROS;ERROS;#aprenderespanhol #aprendaespanhol #espanholparabrasileiros #espanholcorporativo #espanholparanegocio #espanholprofissional #vocabulario #palavradodia #espanholdodia
2026-03-30;Segunda;18:30;REEL;MEIO;9;Quebra de Crencas;viajante;Viajante;Quanto mais voce estuda espanhol... pior voce fala;Comenta se voce acreditava nisso | Comenta METODO;METODO;#espanholparabrasileiros #espanholonline #espanholcomvoce #espanholparaviagem #espanholbasico #viagemparaaamericadosul #quebradecrencas #verdade #mentiradoespanhol
2026-03-30;Segunda;20:00;CARROSSEL;TOPO;5;Cultura e Diferencas;vai_morar_fora;Vai Morar Fora;Sistema de saude Espanha vs Brasil — a diferenca;Comenta seu pais favorito | Comenta VIAGEM;VIAGEM;#aprenderespanhol #espanholparabrasileiros #aprendaespanhol #brasileironoexterior #brasileirosnaespanha #brasileirosnaargentina #diferencas #curiosidades #culturaespanhola
2026-03-31;Terca;07:00;REEL;MEIO;8;Desejo e Transformacao;academico;Academico;Como seria conseguir a bolsa dos seus sonhos?;Comenta QUERO se esse e seu sonho | Comenta AULA;AULA;#aprendaespanhol #espanholonline #espanholparabrasileiros #espanholparaenem #siele #dele #destrave #transformacao #faleespanhol
2026-03-31;Terca;09:30;CARROSSEL;TOPO;5;Cultura e Diferencas;profissional;Profissional;Cultura de trabalho na Espanha vs no Brasil;Comenta seu pais favorito | Comenta VIAGEM;VIAGEM;#espanholparabrasileiros #espanhol #espanholreal #espanholcorporativo #espanholprofissional #espanholparanegocio #curiosidades #diferencas #culturaespanhola
2026-03-31;Terca;12:00;REEL;TOPO;1;Expressoes Idiomaticas;viajante;Viajante;Como falar 'se vira nos 30' em espanhol;Salva esse video / Manda pra quem precisa | Comenta VIAGEM;VIAGEM;#espanholreal #aprendaespanhol #espanholonline #viagemparaaamericadosul #espanholparaviagem #espanholnoexterior #espanholnativo #comofalarem #expressoes
2026-03-31;Terca;15:00;CARROSSEL;FUNDO;11;CTA Indireto;vai_morar_fora;Vai Morar Fora;Voce nao precisa chegar la sem falar — comeca agora;Comenta AULA | Comenta AULA;AULA;#espanholreal #espanhol #aprenderespanhol #brasileirosnaargentina #brasileironoexterior #morarfora #linknabioo #comece #aulademonstrativa
2026-03-31;Terca;18:30;REEL;MEIO;9;Quebra de Crencas;academico;Academico;O problema nao e falta de vocabulario;Comenta se voce acreditava nisso | Comenta METODO;METODO;#espanholonline #espanholparabrasileiros #espanholreal #espanholparaenem #celu #siele #mentiradoespanhol #quebradecrencas #verdade
2026-03-31;Terca;20:00;CARROSSEL;MEIO;9;Quebra de Crencas;profissional;Profissional;Curso generico nao resolve espanhol corporativo;Comenta se voce acreditava nisso | Comenta METODO;METODO;#espanhol #espanholparabrasileiros #espanholcomvoce #carreirainternacional #negociosinternacionais #espanholparatrabalho #verdade #quebradecrencas #mentiradoespanhol
2026-04-01;Quarta;07:00;REEL;FUNDO;10;Prova Social;viajante;Viajante;Aluno que saiu do portunhol e se virou sozinho na Argentina;Comenta QUERO se voce quer o mesmo resultado | Comenta AULA;AULA;#espanholreal #espanholonline #espanholcomvoce #espanholbasico #viajarsozinho #espanholnoexterior #resultado #depoimento #alunoreal
2026-04-01;Quarta;09:30;CARROSSEL;TOPO;2;Palavras do Cotidiano;vai_morar_fora;Vai Morar Fora;Como falar 'comprovante de residencia' em espanhol;Comenta qual palavra voce queria saber | Comenta VIAGEM;VIAGEM;#espanholcomvoce #espanholonline #espanholparabrasileiros #vidanoexterior #morarfora #imigracao #vocabulario #espanholdodia #palavradodia
2026-04-01;Quarta;12:00;REEL;TOPO;2;Palavras do Cotidiano;academico;Academico;Como falar 'mestrado' em espanhol;Comenta qual palavra voce queria saber | Comenta ERROS;ERROS;#aprenderespanhol #espanholonline #espanholcomvoce #celu #proficienciaemespanhol #estudarnoexterior #vocabulario #espanholdodia #palavradodia
2026-04-01;Quarta;15:00;CARROSSEL;MEIO;4;Perguntas de Seguidores;profissional;Profissional;Seguidor pergunta: como encerrar reuniao em espanhol?;Manda sua duvida nos comentarios | Comenta ERROS;ERROS;#espanholreal #espanhol #espanholonline #carreirainternacional #espanholprofissional #espanholcorporativo #perguntadeseguidor #duvida #aleresponde
2026-04-01;Quarta;18:30;REEL;TOPO;5;Cultura e Diferencas;viajante;Viajante;Festas que voce precisa viver: Espanha vs America Latina;Comenta seu pais favorito | Comenta VIAGEM;VIAGEM;#aprendaespanhol #espanholonline #espanholreal #mochilao #viajarsozinho #viagemparaaamericadosul #culturaespanhola #diferencas #curiosidades
2026-04-01;Quarta;20:00;CARROSSEL;FUNDO;11;CTA Indireto;vai_morar_fora;Vai Morar Fora;Tenho um caminho claro pra quem vai morar fora (vol. 2);Comenta AULA | Comenta AULA;AULA;#aprenderespanhol #espanhol #aprendaespanhol #brasileirosnaespanha #imigracao #morarfora #comece #aulademonstrativa #linknabioo
2026-04-02;Quinta;07:00;REEL;MEIO;12;Historia e Autoridade Pessoal;academico;Academico;15 anos ensinando brasileiros — o que eu descobri;Salva / Me conta sua historia | Comenta METODO;METODO;#espanholonline #espanholparabrasileiros #aprendaespanhol #dele #espanholparaconcurso #estudarnoexterior #historiadaale #professoranativa #bastidores
2026-04-02;Quinta;09:30;CARROSSEL;TOPO;2;Palavras do Cotidiano;profissional;Profissional;Como falar 'ferias' em espanhol;Comenta qual palavra voce queria saber | Comenta ERROS;ERROS;#aprenderespanhol #espanholcomvoce #espanholparabrasileiros #espanholparatrabalho #negociosinternacionais #carreirainternacional #espanholdodia #vocabulario #palavradodia
2026-04-02;Quinta;12:00;REEL;FUNDO;10;Prova Social;viajante;Viajante;De 'nao falo nada' a 'negociei preco no mercado em espanhol';Comenta QUERO se voce quer o mesmo resultado | Comenta AULA;AULA;#espanhol #aprenderespanhol #espanholreal #espanholparaviagem #viajarsozinho #mochilao #depoimento #alunoreal #resultado
