data;dia_semana;horario;formato;funil;tipo_conteudo_id;tipo_conteudo;avatar_id;avatar;tema;cta;keyword_manychat;hashtags
2026-03-24;Terca;18:30;REEL;MEIO;7;Dor e Identificacao;viajante;Viajante;Voce traduz tudo na cabeca antes de abrir a boca?;Comenta SIM se voce se identifica | Comenta TRAVA;TRAVA;#aprendaespanhol #espanholonline #espanholparabrasileiros #espanholparaviagem #mochilao #espanholbasico #voceseidentifica #travanoespanhol #identificacao
2026-03-24;Terca;20:00;CARROSSEL;MEIO;12;Historia e Autoridade Pessoal;vai_morar_fora;Vai Morar Fora;Eu fui a imigrante que nao falava o idioma — sei como e;Salva / Me conta sua historia | Comenta METODO;METODO;#espanholreal #espanhol #espanholcomvoce #brasileirosnaespanha #imigracao #brasileirosnaargentina #professoranativa #historiadaale #bastidores
2026-03-25;Quarta;07:00;REEL;TOPO;2;Palavras do Cotidiano;academico;Academico;Como falar 'nota' (da escola) em espanhol;Comenta qual palavra voce queria saber | Comenta VIAGEM;VIAGEM;#espanholparabrasileiros #espanholreal #aprenderespanhol #espanholparaenem #dele #proficienciaemespanhol #espanholdodia #palavradodia #vocabulario
2026-03-25;Quarta;09:30;CARROSSEL;FUNDO;10;Prova Social;profissional;Profissional;Gerente fechou contrato gracas ao espanhol fluente;Comenta QUERO se voce quer o mesmo resultado | Comenta AULA;AULA;#aprenderespanhol #espanhol #espanholreal #espanholprofissional #carreirainternacional #espanholcorporativo #alunoreal #resultado #depoimento
2026-03-25;Quarta;12:00;REEL;TOPO;2;Palavras do Cotidiano;viajante;Viajante;Como falar 'carona' em espanhol;Comenta qual palavra voce queria saber | Comenta VIAGEM;VIAGEM;#espanholreal #espanhol #espanholcomvoce #espanholparaviagem #espanholnoexterior #viagemparaaamericadosul #espanholdodia #palavradodia #vocabulario
2026-03-25;Quarta;15:00;CARROSSEL;MEIO;8;Desejo e Transformacao;vai_morar_fora;Vai Morar Fora;Imagina resolver tudo sozinho no seu novo pais...;Comenta QUERO se esse e seu sonho | Comenta AULA;AULA;#espanholcomvoce #espanholparabrasileiros #aprenderespanhol #imigracao #brasileironoexterior #brasileirosnaargentina #transformacao #destrave #faleespanhol
2026-03-25;Quarta;18:30;REEL;TOPO;5;Cultura e Diferencas;academico;Academico;A origem do espanhol: do latim ate hoje;Comenta seu pais favorito | Comenta VIAGEM;VIAGEM;#espanholonline #espanholparabrasileiros #espanhol #dele #espanholparaenem #espanholparaconcurso #curiosidades #culturaespanhola #diferencas
2026-03-25;Quarta;20:00;CARROSSEL;FUNDO;11;CTA Indireto;profissional;Profissional;Quer destravar o espanhol da sua carreira? Comeca por aqui;Comenta AULA | Comenta AULA;AULA;#espanhol #espanholonline #espanholreal #negociosinternacionais #espanholparatrabalho #espanholprofissional #aulademonstrativa #linknabioo #comece
2026-03-26;Quinta;07:00;REEL;FUNDO;10;Prova Social;viajante;Viajante;Ela travava... hoje conversa com nativos na viagem;Comenta QUERO se voce quer o mesmo resultado | Comenta AULA;AULA;#aprendaespanhol #espanholreal #espanholonline #viagemparaaamericadosul #mochilao #viajarsozinho #resultado #alunoreal #depoimento
2026-03-26;Quinta;09:30;CARROSSEL;MEIO;9;Quebra de Crencas;vai_morar_fora;Vai Morar Fora;Voce nao vai aprender espanhol 'naturalmente' so por estar la;Comenta se voce acreditava nisso | Comenta METODO;METODO;#aprendaespanhol #espanholonline #espanhol #imigracao #morarfora #brasileironoexterior #mentiradoespanhol #verdade #quebradecrencas
2026-03-26;Quinta;12:00;REEL;MEIO;7;Dor e Identificacao;academico;Academico;Voce ja estudou espanhol e mesmo assim nao consegue conversar?;Comenta SIM se voce se identifica | Comenta TRAVA;TRAVA;#aprendaespanhol #espanholcomvoce #espanholonline #dele #espanholparaenem #estudarnoexterior #identificacao #travanoespanhol #voceseidentifica
2026-03-26;Quinta;15:00;CARROSSEL;FUNDO;11;CTA Indireto;profissional;Profissional;Comenta AULA — tenho uma aula que vai mudar sua visao;Comenta AULA | Comenta AULA;AULA;#espanholcomvoce #aprenderespanhol #espanholonline #espanholcorporativo #carreirainternacional #espanholprofissional #aulademonstrativa #linknabioo #comece
2026-03-26;Quinta;18:30;REEL;TOPO;2;Palavras do Cotidiano;viajante;Viajante;Como falar 'saudade' em espanhol;Comenta qual palavra voce queria saber | Comenta VIAGEM;VIAGEM;#espanholcomvoce #espanhol #aprendaespanhol #viajarsozinho #espanholparaviagem #espanholbasico #palavradodia #espanholdodia #vocabulario
2026-03-26;Quinta;20:00;CARROSSEL;MEIO;7;Dor e Identificacao;vai_morar_fora;Vai Morar Fora;Voce vai se mudar e tem medo de nao se adaptar?;Comenta SIM se voce se identifica | Comenta TRAVA;TRAVA;#espanholreal #espanholonline #aprenderespanhol #brasileironoexterior #vidanoexterior #brasileirosnaargentina #travanoespanhol #identificacao #voceseidentifica
